taz_id,far_prcnt_estimate_q8,far_estimate_count,units_per_acre_q8,units_per_acre_estimate_count
595.0,459.1368,509,200.0,509
596.0,153.0456,575,66.666666,575
597.0,28.695999999999998,491,12.5,491
598.0,65.59089999999999,1573,28.571428000000004,1573
599.0,45.9136,1283,20.0,1283
600.0,19.1307,1196,8.333333,1196
601.0,65.59089999999999,1563,28.571428000000004,1563
602.0,265.11498,15,115.4841266,15
603.0,147.16158000000001,5,64.10361259999999,5
604.0,32.7954,111,14.285714000000002,111
605.0,229.5684,1772,100.0,1772
606.0,32.7954,990,14.285714000000002,990
607.0,459.1368,1047,200.0,1047
608.0,57.3921,111,25.0,111
609.0,20.869799999999998,1487,9.090909,1487
610.0,76.5228,484,33.333333,484
611.0,21.664839999999955,1437,9.43722899999998,1437
612.0,573.921,741,250.0,741
613.0,17.6591,821,7.6923070000000004,821
614.0,19.1307,1288,8.333333,1288
615.0,17.6591,1162,7.6923070000000004,1162
616.0,229.5684,968,100.0,968
617.0,17.6591,782,7.6923070000000004,782
618.0,16.3977,740,7.142857000000001,740
619.0,25.507600000000004,1527,11.111111,1527
620.0,28.695999999999998,989,12.5,989
621.0,32.7954,991,14.285714000000002,991
622.0,17.6591,1375,7.6923070000000004,1375
623.0,57.3921,1766,25.0,1766
624.0,16.3977,868,7.142857000000001,868
625.0,19.1307,1246,8.333333,1246
626.0,17.6591,1292,7.6923070000000004,1292
627.0,28.695999999999998,1329,12.5,1329
628.0,16.3977,1393,7.142857000000001,1393
629.0,13.504000000000001,1470,5.882352,1470
630.0,20.869799999999998,1765,9.090909,1765
631.0,28.695999999999998,1040,12.5,1040
632.0,153.0456,1154,66.666666,1154
633.0,27.008000000000003,1737,11.764705000000001,1737
634.0,56.90149999999999,1026,24.786324,1026
635.0,20.869799999999998,894,9.090909,894
636.0,20.869799999999998,1230,9.090909,1230
637.0,11.4784,1480,5.0,1480
638.0,20.869799999999998,1149,9.090909,1149
639.0,20.869799999999998,1017,9.090909,1017
640.0,25.507600000000004,831,11.111111,831
641.0,19.1307,850,8.333333,850
642.0,45.9136,936,20.0,936
643.0,16.3977,997,7.142857000000001,997
644.0,17.6591,1076,7.6923070000000004,1076
645.0,16.3977,1212,7.142857000000001,1212
646.0,17.6591,886,7.6923070000000004,886
647.0,12.0825,1285,5.263157,1285
648.0,22.9568,1714,10.0,1714
649.0,20.869799999999998,1072,9.090909,1072
650.0,32.7954,1334,14.285714000000002,1334
651.0,76.5228,1501,33.333333,1501
652.0,20.869799999999998,1280,9.090909,1280
653.0,20.869799999999998,2756,9.090909,2756
654.0,76.5228,3562,33.333333,3562
655.0,20.869799999999998,3642,9.090909,3642
656.0,28.695999999999998,1823,12.5,1823
657.0,25.507600000000004,1258,11.111111,1258
658.0,17.6591,1279,7.692307,1279
659.0,45.9136,911,20.0,911
660.0,16.3977,1005,7.142857000000001,1005
661.0,20.869799999999998,1708,9.090909,1708
662.0,17.6591,1347,7.6923070000000004,1347
663.0,16.3977,1005,7.142857000000001,1005
664.0,41.7397,1759,18.181818,1759
665.0,20.869799999999998,2026,9.090909,2026
666.0,19.1307,471,8.333333,471
667.0,135.0402,783,58.82352900000001,783
668.0,153.0456,1680,66.666666,1680
669.0,35.3182,1220,15.384615,1220
670.0,23.440080000000112,1764,10.210526000000048,1764
671.0,32.7954,646,14.285714000000002,646
672.0,35.3182,1022,15.384615,1022
