taz_id,count,far_estimate_q8
1425.0,2011,2011
1426.0,2280,2280
1427.0,1819,1819
1428.0,1328,1328
1429.0,1460,1460
1430.0,1270,1270
1431.0,2398,2398
1432.0,1596,1596
1433.0,1146,1146
1434.0,2231,2231
1435.0,908,908
1436.0,1650,1650
1437.0,2188,2188
1438.0,1828,1828
1440.0,2255,2255
1441.0,1870,1870
1442.0,2175,2175
1443.0,1495,1495
1444.0,1124,1124
1445.0,1748,1748
1446.0,2189,2189
1447.0,817,817
1448.0,2989,2989
1449.0,240,240
1450.0,2620,2620
1451.0,2014,2014
1452.0,1761,1761
1453.0,296,296
1454.0,1640,1640
